Date,Price,High,Low,Close,Vol
2/13/14,10046.2002,10098.90039,9950,10098.90039,321596600
2/14/14,10111,10184.7002,10057.79981,10132.79981,240155800
2/17/14,10155.09961,10181.90039,10084.59961,10118.59961,167514400
2/18/14,10109.5,10114.5,9988.799805,10042.7002,286231000
2/19/14,10021.29981,10102.7002,9945.900391,10053.79981,295425000
2/20/14,9945.5,10062.2002,9918.5,10062.2002,284533600
2/21/14,10104.09961,10108.79981,10009.2002,10071,227194300
2/24/14,10060.2002,10193.09961,10035.29981,10193.09961,238493000
2/25/14,10176.09961,10242.7002,10150.90039,10242.5,239977200
2/26/14,10243.90039,10269,10191.7002,10224.29981,215455700
2/27/14,10213.29981,10228.09961,10063.90039,10164.09961,253334400
2/28/14,10172.40039,10174.2002,9996.099609,10114.2002,439188100
3/3/14,9951.599609,9991.599609,9855.099609,9878.700195,391420600
3/4/14,9991.099609,10126.7002,9955.200195,10126.7002,330191500
3/5/14,10104.90039,10249.59961,10089.09961,10215.2002,348114600
3/6/14,10251,10358.90039,10247.5,10304,301321700
3/7/14,10327.5,10345.29981,10147.59961,10164.2002,260257400
3/10/14,10151.40039,10292,10119.09961,10194.59961,329690600
3/11/14,10234.90039,10245,10137.90039,10163.29981,212295000
3/12/14,10128.59961,10169,9984.200195,10070.40039,263713900
3/13/14,10112.29981,10117.79981,9950.299805,9950.299805,238531000
3/14/14,9881.400391,9944.299805,9703.099609,9812,469886400
3/17/14,9822.900391,9992.5,9811.200195,9975,267210100
3/18/14,9975.099609,10109.29981,9902.799805,10051.40039,268470200
3/19/14,10085.5,10135.5,10022.79981,10093.29981,186679700
3/20/14,10008,10085.5,9970.900391,10079.90039,253694900
3/21/14,10094.79981,10157.5,10042.40039,10053.09961,442910600
3/24/14,10061.7002,10090,9868.700195,9913.099609,282607800
3/25/14,9939.799805,10035.2002,9885.599609,9990.5,267193000
3/26/14,10029,10180.40039,9994.099609,10140.79981,279649200
3/27/14,10118.2002,10204.40039,10087.09961,10199,255552100
3/28/14,10239.79981,10341.90039,10208.79981,10328.90039,263012700
3/31/14,10349.59961,10420.59961,10325.90039,10340.5,339242900
4/1/14,10368.09961,10487.59961,10359.5,10463.09961,310888300
4/2/14,10477.79981,10503.7002,10391.29981,10435.79981,237133600
4/3/14,10462.2002,10644.40039,10451.5,10584.09961,337366400
4/4/14,10612.5,10705.09961,10572.29981,10677.2002,300098300
4/7/14,10594.09961,10678.2002,10561.29981,10606.2002,216044600
4/8/14,10611.40039,10626.59961,10384.09961,10480.5,335475500
4/9/14,10493.40039,10571.5,10477.2002,10485.2002,241313300
4/10/14,10523.7002,10536.59961,10326.40039,10336.09961,335982800
4/11/14,10272.29981,10332.09961,10091.09961,10205.40039,366861500
4/14/14,10097.7002,10191.29981,9984.299805,10188.2002,318266900
4/15/14,10199.79981,10247.79981,10071.59961,10103.5,253737500
4/16/14,10210.59961,10267.90039,10179.40039,10267.90039,217015400
4/17/14,10290.59961,10316.2002,10184.90039,10292.40039,231004200
4/22/14,10339.09961,10449,10279.7002,10437.79981,238298100
4/23/14,10439.29981,10482.5,10394.90039,10424.40039,258917000
4/24/14,10487,10531.09961,10338.7002,10462,236755500
4/25/14,10398.5,10442.90039,10281,10306.2002,191450000
4/28/14,10351.29981,10391.29981,10247.90039,10320.90039,187967800
4/29/14,10348.5,10488.5,10342.59961,10461,285723600
4/30/14,10424.7002,10500.40039,10397.7002,10459,280911700
5/2/14,10453.59961,10541,10441.29981,10474.5,196334200
5/5/14,10460.2002,10502.7002,10342.5,10477,208232700
5/6/14,10504.90039,10549.2002,10414.79981,10481.40039,224625800
5/7/14,10402,10494.5,10371.5,10413.79981,271535000
5/8/14,10448.90039,10597.90039,10412.5,10591.2002,291313500
5/9/14,10573,10592.59961,10438.7002,10487.2002,324681600
5/12/14,10512.40039,10578.2002,10478.2002,10567,243557000
5/13/14,10587.29981,10600.90039,10533.40039,10587.2002,272278900
5/14/14,10602.79981,10639.09961,10521.59961,10613.90039,248096700
5/15/14,10616.5,10665.09961,10323.40039,10365,409937900
5/16/14,10354.09961,10494.90039,10282.40039,10478.7002,312919000
5/19/14,10469.7002,10526,10307.29981,10425.5,243528900
5/20/14,10418.40039,10479,10401.59961,10453.79981,245813300
5/21/14,10407.40039,10547.5,10364.09961,10531.40039,205707400
5/22/14,10552.09961,10558,10474.90039,10520.59961,205291500
5/23/14,10525.5,10576.5,10466,10558.90039,159882100
5/26/14,10593.79981,10695.5,10576.29981,10687.5,141443100
5/27/14,10669.29981,10744.79981,10659.40039,10714.2002,208487200
5/28/14,10701.5,10757.2002,10672.2002,10757.2002,236689000
5/29/14,10755.7002,10770.29981,10665,10734.79981,182658100
5/30/14,10708.09961,10803.40039,10697.79981,10798.7002,319903000
6/2/14,10819,10877.40039,10800.2002,10827.40039,196097200
6/3/14,10838.29981,10873.59961,10744.29981,10776.7002,206171300
6/4/14,10756.2002,10775.09961,10667.2002,10755.59961,193394100
6/5/14,10761,10970,10714.2002,10876.40039,382160700
6/6/14,10917.59961,11085.09961,10888.40039,11064.29981,338353600
6/9/14,11089.79981,11188.2002,11057.7002,11164.09961,267298300
6/10/14,11136.59961,11177.59961,11095.59961,11153.5,246596300
6/11/14,11134.40039,11167.79981,11045.2002,11074.90039,211582800
6/12/14,11081.7002,11137.29981,11046,11088.5,186194000
6/13/14,11079,11134.29981,11010,11113.7002,197257500
6/16/14,11055,11099.2002,10971.7002,11008.2002,213704700
6/17/14,11031.09961,11093.5,11013,11058.5,198939900
6/18/14,11082.40039,11130.79981,11052.7002,11112.29981,197069400
6/19/14,11192.40039,11249.40039,11158.79981,11187.79981,222993200
6/20/14,11174.90039,11215.79981,11142.59961,11155.09961,385514000
6/23/14,11163.40039,11185.09961,11093.90039,11118.29981,176415300
6/24/14,11147.59961,11168.79981,11082.5,11105.90039,183077100
6/25/14,11058.09961,11069.5,10890.2002,10966.7002,340431300
6/26/14,11006,11046.40039,10910.79981,10989,237044700
6/27/14,11010.2002,11059.79981,10924.2002,10959.90039,172851300
6/30/14,10975.59961,10996.29981,10850.59961,10923.5,198883900
7/1/14,10954.5,11007.79981,10911.90039,11007.79981,271826600
7/2/14,11009,11037.5,10955.2002,11016.2002,206188700
7/3/14,11001.7002,11100.2002,10958.09961,11090,231683700
7/4/14,11082.7002,11084,11004.79981,11009.40039,151365000
7/7/14,10986,11005.2002,10874.5,10888.5,159943600
7/8/14,10898.7002,10920.90039,10663,10689.09961,348809900
7/9/14,10736.40039,10771,10680.90039,10746.90039,264369500
7/10/14,10743.59961,10743.59961,10423.59961,10533.59961,378313700
7/11/14,10563.7002,10681.5,10489.79981,10538.79981,240402900
7/14/14,10602.5,10640,10526.59961,10606.29981,189414500
7/15/14,10545.09961,10581.40039,10427.7002,10475.90039,246842800
7/16/14,10522.2002,10680.2002,10496.59961,10668.40039,225511600
7/17/14,10617.59961,10643,10507.79981,10543.29981,208172200
7/18/14,10477.5,10527,10425.29981,10527,201066400
7/21/14,10521.7002,10530.59961,10447.59961,10482,156589300
7/22/14,10531,10667.90039,10504.7002,10648.90039,231977700
7/23/14,10624.2002,10700,10604.79981,10659.09961,213231700
7/24/14,10668.29981,10860.7002,10618.09961,10860.7002,335618500
7/25/14,10839.59961,10941.90039,10832.09961,10888.09961,273050900
7/28/14,10940.5,10963.90039,10801.59961,10879.79981,200633400
7/29/14,10901.59961,10964.29981,10854.2002,10901.2002,199820700
7/30/14,10927.79981,11016.09961,10888.59961,10937.40039,241840300
7/31/14,10934.90039,10943.90039,10663.29981,10707.2002,302656400
8/1/14,10682.79981,10701.40039,10478.29981,10514,297750900
8/4/14,10585.79981,10589.40039,10463.90039,10496.2002,206949800
8/5/14,10524.7002,10534.7002,10314.40039,10353.79981,258778800
8/6/14,10282,10330.29981,10121.5,10246.2002,306362900
8/7/14,10235.79981,10258.90039,10049.90039,10078.59961,321042500
8/8/14,9981.200195,10183,9946.900391,10104.79981,274092000
8/11/14,10226.59961,10245.7002,10148.59961,10193.5,173366500
8/12/14,10195.90039,10324.09961,10161.90039,10241.5,190718600
8/13/14,10304.09961,10330.2002,10250.5,10304,183228000
8/14/14,10274.09961,10339.2002,10210.7002,10294.79981,156132300
8/15/14,10320.79981,10417.7002,10203.7002,10222.2002,197004300
8/18/14,10350.40039,10372.2002,10284.09961,10353.40039,150174700
8/19/14,10407.5,10416.59961,10367.2002,10386.5,119977400
8/20/14,10390.59961,10428.09961,10338.29981,10420.90039,135510700
8/21/14,10429.79981,10569.29981,10386.7002,10556.40039,168281900
8/22/14,10582.09961,10588.7002,10436.40039,10500.2002,155283800
8/25/14,10607.09961,10695.7002,10563.59961,10690.09961,148342300
8/26/14,10672.40039,10835.5,10669.40039,10826.90039,215487300
8/27/14,10821.90039,10883.79981,10787.40039,10837.40039,190905600
8/28/14,10808.5,10844.40039,10688,10722.2002,179770300
8/29/14,10742.7002,10785.29981,10614.5,10728.79981,190471100
9/1/14,10749.2002,10784.09961,10693.90039,10746.5,107653300
9/2/14,10768.5,10822.59961,10736.40039,10755,168158100
9/3/14,10799.2002,10927.2002,10783.40039,10886.79981,218737500
9/4/14,10853.79981,11146.59961,10835.40039,11100.09961,400312200
9/5/14,11085.5,11182,11062.2002,11148.90039,269753500
