Date,Open,High,Low,Close
1/23/2014,8644.56,8647.87,8595.1,8595.1
1/24/2014,8581.49,8608.64,8577.14,8598.31
1/27/2014,8519.48,8519.48,8442.19,8462.57
2/5/2014,8290.17,8313.83,8230.46,8264.48
2/6/2014,8286.16,8333.56,8284.77,8311.01
2/7/2014,8383.99,8409.03,8356.93,8387.35
2/10/2014,8416.42,8447.02,8391.95,8391.95
2/11/2014,8413.86,8439.33,8401.54,8430.56
2/12/2014,8471.51,8510.87,8471.51,8510.87
2/13/2014,8506.22,8511.02,8467.7,8467.7
2/14/2014,8524.54,8566.99,8508.24,8513.68
2/17/2014,8537.83,8558.5,8512.6,8519.55
2/18/2014,8530.81,8556.23,8506.06,8556.23
2/19/2014,8565.06,8577.01,8543.15,8577.01
2/20/2014,8555.27,8567.5,8513.08,8524.62
2/21/2014,8571.29,8612.08,8571.29,8601.86
2/24/2014,8603.61,8612.21,8541.65,8560.61
2/25/2014,8581.14,8598.73,8564.51,8575.62
2/26/2014,8569.04,8626.68,8563.87,8600.86
2/27/2014,8626.51,8647.9,8615.41,8639.58
3/3/2014,8627.15,8628.05,8545.24,8601.98
3/4/2014,8583.58,8595.59,8554.54,8554.54
3/5/2014,8622.19,8652.22,8622.19,8632.93
3/6/2014,8660.29,8719.17,8660.29,8713.79
3/7/2014,8754.74,8787.62,8698.6,8713.96
3/10/2014,8706.43,8712.88,8651.54,8665.24
3/11/2014,8694.96,8716.31,8684.63,8702.33
3/12/2014,8671.4,8684.73,8651.99,8684.73
3/13/2014,8737.81,8768.66,8732.15,8747.79
3/14/2014,8697.73,8709.56,8677.81,8687.63
3/17/2014,8697.26,8708.4,8662.49,8700.1
3/18/2014,8747.38,8759.55,8713.51,8731.94
3/19/2014,8745.02,8749.8,8682.75,8689.46
3/20/2014,8638.59,8638.59,8580.4,8597.33
3/21/2014,8642.82,8642.82,8562.57,8577.17
3/24/2014,8540.27,8605.38,8508.01,8605.38
3/25/2014,8589.19,8689.3,8589.19,8689.3
3/26/2014,8741.03,8746.71,8717.79,8737.27
